theta_idx,iteration,logLik
0,0,
0,1,-1833224
0,2,-1563933.4
0,3,-1506117.9
0,4,-1484213
0,5,-1474302.6
0,6,-1469066
0,7,-1465844.8
0,8,-1464026.5
0,9,-1462007.5
0,10,-1460634.1
0,11,-1460131.6
0,12,-1459242.5
0,13,-1458821.1
0,14,-1458316.4
0,15,-1457778.1
0,16,-1457185.9
0,17,-1456697.6
0,18,-1456342.5
0,19,-1455726.4
0,20,-1455436.6
0,21,-1455296.1
0,22,-1455093.8
0,23,-1455071.2
0,24,-1454943.1
0,25,-1454549.8
0,26,-1454108.5
0,27,-1454011.2
0,28,-1453884.8
0,29,-1453540.2
0,30,-1453174.5
0,31,-1453008
0,32,-1452909.5
0,33,-1452777.9
0,34,-1452652
0,35,-1452414
0,36,-1452345
0,37,-1452127
0,38,-1452277
0,39,-1452083.2
0,40,-1451927.2
0,41,-1451439.5
0,42,-1451435
0,43,-1451324.4
0,44,-1451167.5
0,45,-1451096
0,46,-1451103
0,47,-1450846
0,48,-1450836.8
0,49,-1450829.6
0,50,-1450629
0,51,-1450548
0,52,-1450530.5
0,53,-1450481.2
0,54,-1450307
0,55,-1450294
0,56,-1450301
0,57,-1450028.4
0,58,-1449900.9
0,59,-1449816.2
0,60,-1449838.1
0,61,-1449761.1
0,62,-1449649.8
0,63,-1449409.5
0,64,-1449346.8
0,65,-1449319.5
0,66,-1449453.1
0,67,-1449272.9
0,68,-1449411
0,69,-1449227.6
0,70,-1448959.5
0,71,-1448995.5
0,72,-1448889.6
0,73,-1448948.9
0,74,-1448653.5
0,75,-1448569.8
0,76,-1448785.2
0,77,-1448765.8
0,78,-1448549
0,79,-1448481.2
0,80,-1448479
0,81,-1448427.2
0,82,-1448260.8
0,83,-1448508.8
0,84,-1448116.9
0,85,-1448257.8
0,86,-1448211.1
0,87,-1448126
0,88,-1448033.6
0,89,-1448116.5
0,90,-1448001.5
0,91,-1448019
0,92,-1448055.8
0,93,-1447998.2
0,94,-1447882.2
0,95,-1447973.5
0,96,-1447888.2
0,97,-1447877.8
0,98,-1447854
0,99,-1447797
0,100,-1447628
0,101,-1447802.6
0,102,-1447540.6
0,103,-1447486.8
0,104,-1447436.4
0,105,-1447385.4
0,106,-1447340.9
0,107,-1447359
0,108,-1447255.1
0,109,-1447268.2
0,110,-1447399.2
0,111,-1447201.5
0,112,-1447122.5
0,113,-1447232.4
0,114,-1447081
0,115,-1447049.5
0,116,-1447199.2
0,117,-1447093.2
0,118,-1447044.4
0,119,-1446927.5
0,120,-1446954.5
0,121,-1446954
0,122,-1446861.4
0,123,-1446817
0,124,-1446886
0,125,-1446940.5
0,126,-1446771.8
0,127,-1446762.5
0,128,-1446695.2
0,129,-1446799
0,130,-1446645.9
0,131,-1446630.9
0,132,-1446625.8
0,133,-1446501.5
0,134,-1446508.5
0,135,-1446516
0,136,-1446522
0,137,-1446530.9
0,138,-1446400.9
0,139,-1446429
0,140,-1446316.8
0,141,-1446360.8
0,142,-1446447.1
0,143,-1446453.2
0,144,-1446386.6
0,145,-1446384.1
0,146,-1446264.2
0,147,-1446200.2
0,148,-1446199.5
0,149,-1446256.6
0,150,-1446325.8
0,151,-1446378.1
0,152,-1446198
0,153,-1446255
0,154,-1446191.5
0,155,-1446216.4
0,156,-1446113.1
0,157,-1446148.5
0,158,-1446260
0,159,-1446178.5
0,160,-1446111
0,161,-1446133.2
0,162,-1446076
0,163,-1446014.8
0,164,-1446051.5
0,165,-1446124
0,166,-1445976.8
0,167,-1445965.2
0,168,-1445969.8
0,169,-1445835.8
0,170,-1445946.9
0,171,-1445924.5
0,172,-1445949.5
0,173,-1445877.5
0,174,-1445889.8
0,175,-1445937.9
0,176,-1445934.6
0,177,-1445964.8
0,178,-1445832
0,179,-1445923
0,180,-1445809.6
0,181,-1445869
0,182,-1445831.5
0,183,-1445926.2
0,184,-1445788.8
0,185,-1445778.8
0,186,-1445766.8
0,187,-1445785.2
0,188,-1445699.2
0,189,-1445714.6
0,190,-1445897.5
0,191,-1445745.8
0,192,-1445754.5
0,193,-1445909
0,194,-1445774.8
0,195,-1445734.8
